LocalTime,ModelTw_U,ModelTw_R,ModelUHICom,ModelUDICom,ObsTw_U,ObsTw_R,ObsDeltaTw,ObsDeltaTw_std,ObsUHICom,ObsUHICom_std,ObsUDICom,ObsUDICom_std
0,17.44413753,16.96646645,0.712252443,-0.164594119,18.91744452,18.58923608,0.328208438,0.301992489,0.83816249,0.340799921,-0.475846808,0.351903583
1,17.23116155,16.67928836,0.703353625,-0.085247994,18.73766938,18.36037973,0.377289652,0.282917791,0.841962467,0.367231573,-0.428953302,0.359519601
2,16.65741339,16.10870913,0.652365706,-0.042419656,18.53704788,18.14980325,0.387244623,0.2620023,0.870077511,0.350425516,-0.446551229,0.306099818
3,15.90955179,15.37291869,0.606633494,-0.008255013,18.34810928,17.96789401,0.380215267,0.245969639,0.895815152,0.326559345,-0.480368598,0.258756613
4,15.8425411,15.29818453,0.616321577,-0.006936683,18.19000514,17.80114751,0.38885763,0.233052396,0.914624081,0.322886712,-0.491375761,0.27717403
5,15.83355608,15.36297424,0.605694653,-0.067916712,18.12302991,17.71150042,0.411529486,0.211821349,0.906487586,0.326609002,-0.461479213,0.328894537
6,16.02058981,15.97583653,0.435594564,-0.31833362,18.71290885,18.64891573,0.063993127,0.290932968,0.743672205,0.263897938,-0.6503731,0.452041871
7,16.77948623,16.91600006,0.264758059,-0.337018894,19.35311636,20.09055187,-0.737435503,0.363539261,0.405491172,0.134220206,-1.103585267,0.359849953
8,17.90549724,18.16956819,0.303434315,-0.495176397,19.64680669,20.54638963,-0.899582939,0.355416081,0.203372429,0.078884003,-1.062081176,0.353833382
9,18.89392879,19.29865718,0.332401382,-0.66117862,19.93052856,20.70573497,-0.775206414,0.366963306,0.074955553,0.113033237,-0.814864245,0.41807031
10,19.68808386,20.26885766,0.334358826,-0.831468465,20.18768101,20.91900064,-0.731319631,0.389599362,0.00983767,0.137976212,-0.709661288,0.450656271
11,20.4550101,21.08855591,0.354970918,-0.905098518,20.37679282,21.11079302,-0.734000202,0.372679369,-0.023439246,0.154559183,-0.679548191,0.416754376
12,20.96277709,21.65974732,0.35587319,-0.967677618,20.49285584,21.24954292,-0.756687088,0.340525219,-0.045188302,0.162189411,-0.680268908,0.352513896
13,21.20250816,21.94507034,0.345088715,-0.996893923,20.60125506,21.40294769,-0.801692624,0.264323608,-0.025010774,0.168414847,-0.746684757,0.245903679
14,21.2388061,21.99053605,0.342019563,-0.997320017,20.64796605,21.52083163,-0.872865574,0.234278778,0.04315614,0.168965834,-0.883979255,0.162915218
15,21.19624641,21.90208797,0.342379213,-0.952018419,20.62744272,21.56450476,-0.937062039,0.215981546,0.132225335,0.168899017,-1.034902351,0.094542287
16,21.06838378,21.71253668,0.336165727,-0.889485405,20.53742411,21.55978033,-1.02235622,0.231530784,0.235306357,0.174832335,-1.218161925,0.06827269
17,20.72082346,21.29685309,0.338192837,-0.8235585,20.35226038,21.45077921,-1.098518838,0.261581354,0.366352991,0.19798779,-1.419325052,0.053626745
18,20.24047277,20.6494616,0.378135332,-0.698032337,20.08035237,21.13318365,-1.052831276,0.363005235,0.63239653,0.243397407,-1.639849727,0.105734607
19,19.74779574,19.75981893,0.520366571,-0.460445076,19.7249763,20.36031608,-0.635339781,0.42293779,0.985448742,0.249266047,-1.58844815,0.164071245
20,19.20568782,18.96086655,0.616494653,-0.308052311,19.49125398,19.75352346,-0.262269481,0.429201572,0.958475605,0.274249962,-1.192226336,0.277818791
21,18.77484747,18.5004757,0.657549613,-0.314597886,19.36946638,19.40609338,-0.036626995,0.360388849,0.840198219,0.323510966,-0.848287118,0.305109864
22,18.42794175,18.1032079,0.691092102,-0.295996825,19.24867533,19.13531842,0.113356919,0.306975952,0.826253559,0.314531736,-0.681864914,0.313502849
23,17.89950482,17.50781649,0.706920439,-0.243701655,19.10848848,18.87649737,0.231991107,0.282944912,0.833960191,0.304215996,-0.569629908,0.3138155
