ModelDeltaTw,ModelUHICom,ModelUDICom
-1.387760438,-0.18669856,-1.071807887
-1.315062984,0.081656459,-1.303348612
-1.147318538,0.034072215,-1.077799606
-0.793276743,0.154021251,-0.893449812
-0.731709562,0.311983551,-1.032142559
-0.715540393,0.034087786,-0.612474609
-0.603325256,-0.00453069,-0.558568407
-0.500996159,0.441326546,-0.913401356
-0.475816676,0.062828352,-0.511232786
-0.459446491,0.291928154,-0.728180488
-0.458992458,0.522157283,-0.969533511
-0.403700048,0.008192274,-0.387295426
-0.397302181,0.148134014,-0.53024954
-0.359026688,0.246402375,-0.608470463
-0.357427212,0.463363881,-0.800590292
-0.355913339,0.275591336,-0.633541215
-0.331825867,0.179072334,-0.507637362
-0.304976577,-0.163631925,-0.112548108
-0.303741412,0.34750659,-0.623403619
-0.299243862,0.081183835,-0.383358428
-0.261666651,0.342996478,-0.615527448
-0.252603101,0.314706177,-0.574844336
-0.242207479,0.682246398,-0.898305668
-0.221735299,0.264121126,-0.493441195
-0.219596389,0.364221301,-0.592537759
-0.218203395,0.241181166,-0.457231326
-0.2033632,0.199516529,-0.407866158
-0.198825517,0.311904314,-0.506762225
-0.196108051,0.193034303,-0.375111426
-0.195165621,0.49758071,-0.649092775
-0.194531196,0.236340609,-0.417516276
-0.188440396,0.161849945,-0.319969114
-0.182582027,0.321025613,-0.463505083
-0.170789268,0.487259376,-0.652807979
-0.145128209,0.21698782,-0.355252009
-0.140782726,0.421943526,-0.570451977
-0.127653239,0.291834505,-0.443190276
-0.11856941,0.022519069,-0.138643984
-0.100081946,0.126382501,-0.214103202
-0.087999808,0.422496465,-0.494336887
-0.084725356,-0.071310453,-0.001169073
-0.081965177,0.385183085,-0.433974688
-0.078365666,0.184771323,-0.274392329
-0.073768821,0.347476548,-0.425960285
-0.07071499,0.314933243,-0.386527967
-0.060741374,0.255456422,-0.32553981
-0.051259713,0.018219989,-0.043126763
-0.038371744,0.24594464,-0.305830931
-0.020213714,0.191443832,-0.188892029
-0.007897074,0.291326321,-0.295200884
-0.006585572,0.337258146,-0.355496672
0.009816845,0.23963176,-0.226629203
0.013704192,0.280795034,-0.238834611
0.018172956,0.513016851,-0.478515546
0.023532601,0.097609083,-0.050687874
0.034226324,0.314193226,-0.296021651
0.040497086,0.219588093,-0.178998295
0.061895092,0.197324205,-0.156782071
0.109601062,0.081724188,0.021022154
0.113735412,0.393258215,-0.30172014
0.130460633,0.319885524,-0.135790355
0.135835679,0.120079393,0.001089934
0.142257565,0.158576064,-0.02145169
0.196094965,0.165273588,0.039437153
0.203021427,0.3853149,-0.176270557
0.246489701,0.430532375,-0.194590981
0.248176815,0.179295367,0.072162222
0.272272994,-0.004921486,0.282773633
0.294961332,0.236274445,0.047499246
0.29831678,0.73567713,-0.450091228
0.320288891,0.283280806,0.004362371
0.45119346,0.904259999,-0.455405251
0.452211459,0.423779541,0.040915987
0.457313982,0.106247566,0.348796529
0.492228751,0.001462127,0.490361752
0.636010229,0.35809507,0.27012714
0.660073171,0.358972109,0.256361921
0.755668006,0.079465274,0.693713972
0.848274529,0.504396145,0.336169737
1.246059511,0.305358633,0.927636186
1.382327239,0.427327892,0.971423025
1.956190621,0.016602961,1.895576255
