ModelDeltaTw,ModelUHICom,ModelUDICom,DN
-0.52524096,0.092803981,-0.609682667,Day
-0.428715783,-0.164877096,-0.221646351,Day
-0.364955686,0.046545519,-0.415442465,Day
-0.26872734,0.083325231,-0.358944356,Day
-0.012333246,0.048716923,-0.063776124,Day
-0.003769126,-0.008440501,0.009331599,Day
0.080481585,0.05713822,0.026106531,Day
0.083894589,0.236428913,-0.163066418,Day
0.084946366,0.171641958,-0.105720885,Day
0.098321468,0.206387168,-0.064206211,Day
0.128707086,0.042456788,0.08602344,Day
0.365011346,0.13649257,0.217624762,Day
0.405707557,0.203451174,0.210171033,Day
0.420079453,0.059945354,0.352436458,Day
0.578512619,0.258363397,0.306339001,Day
0.618934,0.108652,0.513770176,Day
-0.405181327,0.309555297,-0.652964158,Night
-0.180076524,0.052739204,-0.233814843,Night
-0.107588644,0.137871362,-0.260093669,Night
-0.086341312,0.108565983,-0.20788601,Night
-0.022313843,0.206454343,-0.248694015,Night
-0.014241639,0.314899909,-0.340360943,Night
0.0949941,0.194322782,-0.104553738,Night
0.101696259,0.152403379,-0.061197744,Night
0.26608564,0.161567473,0.098202309,Night
0.354529764,0.251591545,0.086104469,Night
0.467476661,0.484761743,-0.030975478,Night
0.485638889,0.453178477,0.006712744,Night
0.680542855,0.338899124,0.341709866,Night
0.719950968,0.656537081,0.145248993,Night
0.817104485,0.49504686,0.350838051,Night
0.92296726,0.515660203,0.402681428,Night
